,0
3097,II
3098,I
3100,II
3103,I
3104,III
3111,II
3113,II
3117,III
3123,I
3124,III
3127,III
3130,I
3135,III
3139,II
3142,III
3143,I
3144,I
3145,II
3147,I
3148,III
3150,II
3153,III
3154,III
3160,"II,III"
3164,III
3166,III
3167,II
3170,III
3173,I
3174,II
3176,I
3177,II
3186,II
3187,II
3189,I
3192,II
3195,III
3196,III
3197,III
3200,II
3203,III
3205,II
3211,III
3214,I
3217,II
3218,II
3220,II
3221,III
3224,I
3225,II
3226,II
3227,II
3228,II
3229,I
3236,III
3238,II
3243,III
3244,III
3246,III
3250,II
3251,II
3253,II
3257,I
3261,II
3266,I
3268,I
3269,II
3273,I
3274,I
3276,II
3278,II
3279,II
3280,III
3282,II
3283,II
3289,I
3291,II
3294,II
3297,II
3298,I
3299,II
3302,III
3304,II
3306,I
3307,I
3308,II
3309,I
3311,III
3313,I
3315,II
3316,II
3318,III
3319,II
3320,I
3325,II
3329,III
3332,III
3334,III
3336,I
3337,III
3339,I
3344,III
3345,III
3346,III
3347,I
3349,II
3350,II
3354,II
3356,III
3361,II
3362,III
3364,II
3365,III
3366,III
3367,II
3368,III
3370,I
3371,II
3376,III
3380,II
3385,I
3387,II
3390,III
3391,II
3393,II
3398,II
3400,I
3401,I
3403,II
3404,II
3405,III
3407,I
3408,I
3409,III
3410,I
3412,III
3414,II
3416,III
3417,II
3419,III
3420,"II,III"
3423,I
3425,II
3426,II
3428,II
3429,II
3430,III
3432,III
3434,III
3435,II
3440,I
3441,II
3443,III
3447,II
3448,II
3449,III
3450,II
3452,III
3453,II
3455,I
3456,III
3457,I
3458,I
3461,II
3462,I
3465,III
3466,II
3468,III
3470,I
3479,II
3484,I
3488,III
3490,III
3493,I
3496,II
3498,II
3499,II
3503,III
3506,I
3507,II
3511,II
3517,II
3518,I
3520,I
3527,I
3528,II
3530,I
3533,III
3536,II
3539,I
3542,II
3544,I
3546,II
3551,I
3553,III
3555,II
3556,II
3559,I
3560,III
3564,II
3565,II
3566,I
3567,I
3570,I
3571,II
3572,II
3573,II
3574,III
3580,II
3582,II
3583,III
3585,II
3587,II
3591,"II,III"
3592,II
