,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED
71235,0,0,1,0
71253,0,0,1,0
71275,0,0,1,0
71303,0,0,1,0
71312,0,0,1,0
71340,0,0,1,0
71350,0,0,1,0
71365,0,0,1,0
71402,0,0,1,0
71414,0,0,1,0
71439,0,0,1,0
71460,0,0,1,0
71468,0,0,1,0
71564,0,0,1,0
71579,0,0,1,0
71664,0,0,1,0
71691,0,0,1,0
71739,0,0,1,0
71764,0,0,1,0
71786,0,0,1,0
71804,0,0,1,0
71836,0,0,1,0
71871,0,0,1,0
71874,0,0,1,0
71898,0,0,1,0
71957,0,0,1,0
71959,0,0,1,0
71969,0,0,1,0
72014,0,0,1,0
72153,0,0,1,0
72181,0,0,1,0
72182,0,0,1,0
72260,0,0,1,0
72392,0,0,1,0
72398,0,0,1,0
72400,0,0,1,0
72436,0,0,1,0
72441,0,0,1,0
72551,0,0,1,0
72581,0,0,1,0
72691,0,0,1,0
72696,0,0,1,0
72705,0,0,1,0
72775,0,0,1,0
72806,0,0,1,0
72831,0,0,1,0
72857,0,0,1,0
72905,0,0,1,0
72913,0,0,1,0
72921,0,0,1,0
72970,0,0,1,0
72986,0,0,1,0
72991,0,0,1,0
73044,0,0,1,0
73145,0,0,1,0
73152,0,0,1,0
73200,0,0,1,0
73249,0,0,1,0
73261,0,0,1,0
73422,0,0,1,0
73437,0,0,1,0
73532,0,0,1,0
73731,0,0,1,0
73766,0,0,1,0
73767,0,0,1,0
73776,0,0,1,0
73844,0,0,1,0
73873,0,0,1,0
73877,0,0,1,0
73895,0,0,1,0
73902,0,0,1,0
73915,1,0,1,0
73950,0,0,1,0
74060,0,0,1,0
74100,0,0,1,0
74133,0,0,0,1
74208,0,0,1,0
74282,0,0,1,0
74368,0,0,1,0
74390,0,0,0,1
74565,0,0,1,0
74609,0,0,1,0
74632,0,0,1,0
74664,0,0,1,0
74904,0,0,1,0
75265,0,0,1,0
75379,0,0,1,0
75399,0,0,1,0
75423,0,0,1,0
